text,language,category,severity
सड़क पर काफी पानी भर गया है स्कूल के पास।,hi,waterlogging,medium
Major civic problem ki wajah se daily functioning paralyze ho gayi hai hospital ke paas.,hinglish,other,high
Flood ki wajah se log phans gaye hain aur transport band hai community center ke paas.,hinglish,flood,high
The bridge is severely damaged and unsafe near the bus stand.,en,bridge_damage,high
রাস্তার পাশে সামান্য জল ঢুকছে হাসপাতালের কাছে।,bn,flood,low
Waterlogging ki wajah se chalne me dikkat aa rahi hai school ke paas.,hinglish,waterlogging,medium
भारी जलभराव के कारण पूरा मुख्य मार्ग बंद हो चुका है बाजार के पास।,hi,waterlogging,high
The damaged road is causing traffic problems in the residential area.,en,road_damage,high
কোমর সমান জল জমে রাস্তা সম্পূর্ণ অচল হয়ে গেছে প্রধান রাস্তায়।,bn,waterlogging,high
"দয়া করে বিষয়টি দেখুন, ছোটখাটো ভূমিধস হয়েছে তবে রাস্তা সচল আছে বাজারের কাছে।",bn,landslide,low
পানীয় জলের সাথে বিষাক্ত নর্দমার জল মিশে মানুষ ডায়রিয়ায় আক্রান্ত হচ্ছে বাজারের কাছে।,bn,water_supply,critical
"अत्यंत गंभीर आपातकालीन स्थिति उत्पन्न हो गई है, तुरंत सरकारी मदद चाहिए रेलवे स्टेशन के पास।",hi,other,critical
"Kindly check, Part of the building wall is damaged near the bus stand.",en,building_damage,medium
Public infrastructure me problem hone se log trouble face kar rahe hain hamare area mein.,hinglish,other,medium
कचरे का डस्टबिन और वेस्ट कंटेनर भरकर सड़क पर फैल रहा है बस स्टैंड के पास।,hi,garbage,medium
"তাড়াতাড়ি ব্যবস্থা নিন, পাথর এবং কাদা রাস্তায় এসে পড়েছে আমাদের এলাকায়।",bn,landslide,medium
সেতুর রেলিং ভেঙে গেছে বাসস্ট্যান্ডের কাছে।,bn,bridge_damage,medium
ভবনে সামান্য ক্ষয়ক্ষতি হয়েছে প্রধান রাস্তায়।,bn,building_damage,low
Public area ka routine inspection hona chahiye railway station ke paas.,hinglish,other,low
"Landslide ne houses wipe out kar diye hain, critical life threat residential area mein.",hinglish,landslide,critical
Bridge ka ek hissa damage ho chuka hai gaon ke entrance par.,hinglish,bridge_damage,medium
यहाँ आग लग गई है और फैल रही है रेलवे स्टेशन के पास।,hi,fire,medium
जरूरी शिकायत: सड़क की हल्की मरम्मत की आवश्यकता है स्कूल के पास।,hi,road_damage,low
"দয়া করে সাহায্য করুন, ভবনটির নিরাপত্তা পরীক্ষা করা উচিত হাসপাতালের কাছে।",bn,building_damage,low
सड़क बहुत ज्यादा क्षतिग्रस्त है और यातायात बाधित हो रहा है रेलवे स्टेशन के पास।,hi,road_damage,high
সেতুতে সামান্য ফাটল দেখা গেছে প্রধান রাস্তায়।,bn,bridge_damage,low
The water supply has completely stopped near the school.,en,water_supply,high
खुले नाले और मैनहोल से किसी की जान जा सकती है तुरंत ढक्कन लगाएं रेलवे स्टेशन के पास।,hi,drainage,critical
नाली की हल्की सफाई की आवश्यकता है अस्पताल के पास।,hi,drainage,low
"Bridge me heavy structural cracks aa gaye hain, vehicle crossing hazardous hai hamare area mein.",hinglish,bridge_damage,high
ड्रेनेज लाइन फटने से भीषण आपदा जैसी स्थिति बन गई है मुख्य सड़क पर।,hi,drainage,critical
पहाड़ी से थोड़ी मिट्टी और छोटे कंकड़ सड़क पर गिरे हैं बस स्टैंड के पास।,hi,landslide,low
সেতুর স্তম্ভ দুর্বল হয়ে পড়েছে গ্রামের প্রবেশপথে।,bn,bridge_damage,high
नलों में गंदा पानी आ रहा है स्कूल के पास।,hi,water_supply,medium
Flood conditions ban rahi hain hospital ke paas.,hinglish,flood,medium
"Urgent hai, Rocks aur debris sadak par aage aa gaye hain main road par.",hinglish,landslide,medium
এখানে আগুন লেগেছে এবং চারদিকে ছড়াচ্ছে আমাদের এলাকায়।,bn,fire,medium
"Please help, A massive landslide has completely blocked the road near the hospital.",en,landslide,critical
Emergency situation hai log paani me phas gaye hain bahar nahi nikal sakte school ke paas.,hinglish,waterlogging,critical
সেতুটিতে ছোট মেরামতের প্রয়োজন গ্রামের প্রবেশপথে।,bn,bridge_damage,low
"Please take action, There is an emergency situation requiring immediate assistance near the hospital.",en,other,critical
"Bridge collapse ho chuka hai aur vehicles river me drop ho gaye hain, disaster response bus stand ke paas.",hinglish,bridge_damage,critical
ভারী জলমগ্নতার কারণে গাড়ি বিকল হয়ে যান চলাচল স্তব্ধ বাসস্ট্যান্ডের কাছে।,bn,waterlogging,high
हल्का भूस्खलन हुआ है पर आवाजाही जारी है सामुदायिक केंद्र के पास।,hi,landslide,low
সকাল থেকে জল সরবরাহ পুরোপুরি বন্ধ রয়েছে আবাসিক এলাকায়।,bn,water_supply,medium
Garbage is overflowing and creating a serious problem in the residential area.,en,garbage,high
"तुरंत कार्रवाई करें, जर्जर इमारत से प्लास्टर और ईंटें नीचे गिर रही हैं, बहुत खतरनाक हमारे इलाके में।",hi,building_damage,high
"भीषण भूस्खलन से कई वाहन और लोग मलबे में दब गए हैं, तुरंत रेस्क्यू चाहिए स्कूल के पास।",hi,landslide,critical
Contaminated water is spreading through the neighborhood near the bus stand.,en,drainage,critical
রাস্তায় বেশ জল জমে গেছে হাসপাতালের কাছে।,bn,waterlogging,medium
Overflowing garbage se serious disease failne ka severe risk hai main road par.,hinglish,garbage,high
Residents urgently need drinking water near the railway station.,en,water_supply,high
বিষাক্ত জল সরবরাহের ফলে বহু মানুষ হাসপাতালে ভর্তি প্রধান রাস্তায়।,bn,water_supply,critical
जरूरी शिकायत: सड़क की गंभीर खराबी से कभी भी हादसा हो सकता है बाजार के पास।,hi,road_damage,high
The damaged road is causing traffic problems near the hospital.,en,road_damage,high
"पुल का पिलर कमजोर हो गया है, कभी भी गिर सकता है रिहायशी इलाके में।",hi,bridge_damage,high
Waterlogging is preventing vehicles from passing at the village entrance.,en,waterlogging,high
"तुरंत कार्रवाई करें, झाड़ियों में आग भड़क रही है गांव के प्रवेश द्वार पर।",hi,fire,medium
पहाड़ी से थोड़ी मिट्टी और छोटे कंकड़ सड़क पर गिरे हैं मुख्य सड़क पर।,hi,landslide,low
সকাল থেকে জল সরবরাহ পুরোপুরি বন্ধ রয়েছে স্কুলের কাছে।,bn,water_supply,medium
Road par kafi garbage faila hua hai aur bad smell aa rahi hai gaon ke entrance par.,hinglish,garbage,medium
Water levels have started rising near the community center.,en,flood,low
There is a small fire near the railway station.,en,fire,low
Some areas are affected by flooding in the residential area.,en,flood,low
The damaged road is causing traffic problems near the community center.,en,road_damage,high
Part of the bridge is damaged at the village entrance.,en,bridge_damage,medium
पुल का एक हिस्सा क्षतिग्रस्त नजर आ रहा है हमारे इलाके में।,hi,bridge_damage,medium
"Dangerous flood flow me log behne ki koshish me hain, life-threatening emergency main road par.",hinglish,flood,critical
"Toxic sewage flooding houses, immediate health disaster situation school ke paas.",hinglish,drainage,critical
নর্দমা আটকে যাওয়ায় নিকাশি সমস্যা হচ্ছে স্কুলের কাছে।,bn,drainage,medium
বিশাল ভূমিধসে রাস্তা সম্পূর্ণ অবরুদ্ধ হয়ে গেছে আমাদের এলাকায়।,bn,landslide,high
নর্দমা আটকে যাওয়ায় নিকাশি সমস্যা হচ্ছে রেলস্টেশনের কাছে।,bn,drainage,medium
ভবনে সামান্য ক্ষয়ক্ষতি হয়েছে রেলস্টেশনের কাছে।,bn,building_damage,low
नाली की हल्की सफाई की आवश्यकता है बाजार के पास।,hi,drainage,low
गहरे गड्ढों के कारण सड़क पर भारी जाम लग रहा है स्कूल के पास।,hi,road_damage,high
गंदा सीवेज पानी पूरे रास्ते पर भर गया है बाजार के पास।,hi,drainage,high
बड़ा भूस्खलन होने से पूरा रास्ता बंद हो गया है हमारे इलाके में।,hi,landslide,high
Dry bushes me fire ignite ho chuki hai community center ke paas.,hinglish,fire,medium
Aaj water supply thoda late aayi residential area mein.,hinglish,water_supply,low
"তাড়াতাড়ি ব্যবস্থা নিন, সামান্য আবর্জনা পরিষ্কার করা দরকার আবাসিক এলাকায়।",bn,garbage,low
"তাড়াতাড়ি ব্যবস্থা নিন, রাস্তাটিতে হালকা মেরামতের প্রয়োজন প্রধান রাস্তায়।",bn,road_damage,low
सड़क की हालत खराब हो रही है स्कूल के पास।,hi,road_damage,medium
बाढ़ का पानी कई इमारतों और दुकानों में घुस चुका है गांव के प्रवेश द्वार पर।,hi,flood,high
"कृपया ध्यान दें, मुख्य सड़क पूरी तरह टूटकर बंद हो गई है, आपातकालीन खतरा है हमारे इलाके में।",hi,road_damage,critical
"Urgent hai, Flood ki wajah se log phans gaye hain aur transport band hai community center ke paas.",hinglish,flood,high
Drain burst ho gaya hai aur contaminated water se bacchon ki jaan ko khatra hai gaon ke entrance par.,hinglish,drainage,critical
The landslide has damaged homes and is threatening lives on the main road.,en,landslide,critical
"Urgent, The road surface is slightly damaged near the community center.",en,road_damage,low
लोग बाढ़ के पानी में फंस गए हैं और सुरक्षित स्थान ढूंढ रहे हैं हमारे इलाके में।,hi,flood,high
Road par kafi paani bhar gaya hai gaon ke entrance par.,hinglish,waterlogging,medium
Low-lying area me halka flood water aaya hai school ke paas.,hinglish,flood,low
Severe public issue create ho gaya hai aur residents bahut affected hain school ke paas.,hinglish,other,high
Severe sewage overflow ho raha hai aur movement impossible ho gayi hai main road par.,hinglish,drainage,high
"Urgent hai, Public infrastructure me problem hone se log trouble face kar rahe hain bus stand ke paas.",hinglish,other,medium
बारिश के कारण रास्ता जलमग्न हो गया है रेलवे स्टेशन के पास।,hi,waterlogging,medium
"तुरंत कार्रवाई करें, भीषण बाढ़ में लोग अपने घरों की छतों पर फंसे हैं, तुरंत नाव और बचाव चाहिए मुख्य सड़क पर।",hi,flood,critical
নর্দমা আটকে যাওয়ায় নিকাশি সমস্যা হচ্ছে প্রধান রাস্তায়।,bn,drainage,medium
गंभीर सार्वजनिक संकट से लोगों की सुरक्षा को सीधा खतरा है बस स्टैंड के पास।,hi,other,critical
जरूरी शिकायत: कचरे के बड़े ढेर से नाली पूरी तरह जाम हो गई है मुख्य सड़क पर।,hi,garbage,high
Civic issue ki wajah se locality inconvenience face kar rahi hai gaon ke entrance par.,hinglish,other,medium
"Kindly check, Ganda nali ka paani pure area me fail raha hai jisse infection ka khatra hai community center ke paas.",hinglish,drainage,high
রাস্তা মারাত্মক ক্ষতিগ্রস্ত হয়েছে এবং ভয়াবহ যানজট সৃষ্টি হচ্ছে রেলস্টেশনের কাছে।,bn,road_damage,high
पुल के किनारे थोड़ी मरम्मत की जरूरत है हमारे इलाके में।,hi,bridge_damage,low
Landslide ki wajah se road ka part block ho gaya hai hospital ke paas.,hinglish,landslide,medium
জরুরি অভিযোগ: সেতুতে বড় ফাটল ধরেছে এবং ভারী যানের জন্য মারাত্মক বিপজ্জনক গ্রামের প্রবেশপথে।,bn,bridge_damage,high
"Kindly check, The building structure appears unsafe near the railway station.",en,building_damage,medium
नाली आंशिक रूप से बंद हो गई है अस्पताल के पास।,hi,drainage,medium
The road is severely damaged and vehicles are struggling to pass near the hospital.,en,road_damage,high
এখানে একটি সাধারণ নাগরিক সমস্যা রয়েছে যা দেখা দরকার রেলস্টেশনের কাছে।,bn,other,low
"দয়া করে সাহায্য করুন, সকাল থেকে জল সরবরাহ পুরোপুরি বন্ধ রয়েছে রেলস্টেশনের কাছে।",bn,water_supply,medium
A fire has started near the market.,en,fire,medium
মানুষ বন্যার কারণে গৃহহীন হয়ে পড়েছে হাসপাতালের কাছে।,bn,flood,high
The fire is spreading near the roadside in the residential area.,en,fire,medium
झाड़ियों में आग भड़क रही है रिहायशी इलाके में।,hi,fire,medium
Civic issue ki wajah se locality inconvenience face kar rahi hai bus stand ke paas.,hinglish,other,medium
Dry bushes me fire ignite ho chuki hai market ke paas.,hinglish,fire,medium
पानी की मुख्य पाइपलाइन फट गई है और पूरा इलाका प्यासा है अस्पताल के पास।,hi,water_supply,high
नाली कई दिनों से साफ नहीं हुई है और बदबू फैल रही है बस स्टैंड के पास।,hi,drainage,medium
सुबह से पानी की सप्लाई पूरी तरह बंद है बस स्टैंड के पास।,hi,water_supply,medium
The road surface is slightly damaged near the hospital.,en,road_damage,low
Water levels have started rising near the school.,en,flood,low
"জরুরি অভিযোগ: একটি মারাত্মক জরুরি সংকট তৈরি হয়েছে, অবিলম্বে প্রশাসনিক সাহায্য চাই রেলস্টেশনের কাছে।",bn,other,critical
নর্দমার নোংরা জল রাস্তায় উপচে পড়ছে স্কুলের কাছে।,bn,drainage,medium
"कृपया ध्यान दें, इमारत का एक हिस्सा जर्जर होकर गिर रहा है रेलवे स्टेशन के पास।",hi,building_damage,medium
आग आसपास के घरों और दुकानों की तरफ तेजी से बढ़ रही है सामुदायिक केंद्र के पास।,hi,fire,high
"তাড়াতাড়ি ব্যবস্থা নিন, আবর্জনার স্তূপ জমে গেছে বাজারের কাছে।",bn,garbage,medium
"Kindly check, The entire street is heavily waterlogged in the residential area.",en,waterlogging,high
Waste is blocking the drainage system in the residential area.,en,garbage,high
बारिश के कारण रास्ता जलमग्न हो गया है बाजार के पास।,hi,waterlogging,medium
"Please action lo, Damaged building heavily tilt ho chuki hai bus stand ke paas.",hinglish,building_damage,high
जरूरी शिकायत: सड़क के बड़े गड्ढे के कारण गंभीर दुर्घटना हो गई है अस्पताल के पास।,hi,road_damage,critical
A large landslide has blocked the road near the railway station.,en,landslide,high
"Bridge collapse ho chuka hai aur vehicles river me drop ho gaye hain, disaster response hamare area mein.",hinglish,bridge_damage,critical
Rainwater is standing on the street near the market.,en,waterlogging,low
पुल का एक हिस्सा क्षतिग्रस्त नजर आ रहा है बाजार के पास।,hi,bridge_damage,medium
"Please help, People are struggling to move because of flooding near the bus stand.",en,flood,high
Morning se water supply completely off hai market ke paas.,hinglish,water_supply,medium
"Structure completely collapsed, multiple lives in critical danger bus stand ke paas.",hinglish,building_damage,critical
Mud and rocks are blocking part of the road near the school.,en,landslide,medium
मलबा और पत्थर सड़क पर आ गए हैं हमारे इलाके में।,hi,landslide,medium
ভয়াবহ ভূমিধসে গাড়ি এবং মানুষ মাটির নিচে চাপা পড়েছে প্রধান রাস্তায়।,bn,landslide,critical
ভবনটির নিরাপত্তা পরীক্ষা করা উচিত প্রধান রাস্তায়।,bn,building_damage,low
Road par kafi paani bhar gaya hai school ke paas.,hinglish,waterlogging,medium
A few waste items are lying on the roadside near the market.,en,garbage,low
बाढ़ का पानी मुख्य रास्तों पर आ गया है सामुदायिक केंद्र के पास।,hi,flood,medium
मलबा और पत्थर सड़क पर आ गए हैं बाजार के पास।,hi,landslide,medium
सड़क की हालत खराब हो रही है हमारे इलाके में।,hi,road_damage,medium
Sadak ke kinare thoda paani ruka hai main road par.,hinglish,waterlogging,low
"जरूरी शिकायत: पुल का पिलर कमजोर हो गया है, कभी भी गिर सकता है स्कूल के पास।",hi,bridge_damage,high
"Please action lo, Ganda nali ka paani pure area me fail raha hai jisse infection ka khatra hai community center ke paas.",hinglish,drainage,high
लोग बाढ़ के पानी में फंस गए हैं और सुरक्षित स्थान ढूंढ रहे हैं रेलवे स्टेशन के पास।,hi,flood,high
भवन की सुरक्षा जांच की जरूरत है बस स्टैंड के पास।,hi,building_damage,low
भारी जलभराव के कारण पूरा मुख्य मार्ग बंद हो चुका है रेलवे स्टेशन के पास।,hi,waterlogging,high
सार्वजनिक सुविधा में खराबी के कारण लोगों को असुविधा हो रही है मुख्य सड़क पर।,hi,other,medium
নর্দমা আটকে যাওয়ায় নিকাশি সমস্যা হচ্ছে বাজারের কাছে।,bn,drainage,medium
"जर्जर इमारत से प्लास्टर और ईंटें नीचे गिर रही हैं, बहुत खतरनाक गांव के प्रवेश द्वार पर।",hi,building_damage,high
জলের মূল পাইপ ফেটে পুরো এলাকা জলের হাহাকারে ভুগছে রেলস্টেশনের কাছে।,bn,water_supply,high
"Please action lo, Bridge pillar weaken ho gaya hai kisi bhi time fall ho sakta hai hospital ke paas.",hinglish,bridge_damage,high
People are trapped inside a burning building at the village entrance.,en,fire,critical
রাস্তায় সামান্য ক্ষতি হয়েছে বাসস্ট্যান্ডের কাছে।,bn,road_damage,low
A landslide has covered part of the road in the residential area.,en,landslide,medium
बारिश के बाद हल्का पानी भर गया है अस्पताल के पास।,hi,waterlogging,low
সামান্য আবর্জনা পরিষ্কার করা দরকার রেলস্টেশনের কাছে।,bn,garbage,low
कचरे की हल्की सफाई की जरूरत है मुख्य सड़क पर।,hi,garbage,low
"দয়া করে সাহায্য করুন, একটি মারাত্মক জরুরি সংকট তৈরি হয়েছে, অবিলম্বে প্রশাসনিক সাহায্য চাই প্রধান রাস্তায়।",bn,other,critical
Main water supply pipeline burst ho gayi hai pura area bina paani ke hai main road par.,hinglish,water_supply,high
I want to report that A serious civic problem is affecting residents in the residential area.,en,other,high
এই সমস্যার কারণে জনজীবন অচল হয়ে পড়েছে রেলস্টেশনের কাছে।,bn,other,high
"Please help, Emergency situation hai log paani me phas gaye hain bahar nahi nikal sakte school ke paas.",hinglish,waterlogging,critical
Landslide ki wajah se road ka part block ho gaya hai community center ke paas.,hinglish,landslide,medium
"Urgent hai, Drainage water jam ho gaya hai gaon ke entrance par.",hinglish,drainage,medium
Severe sewage overflow ho raha hai aur movement impossible ho gayi hai gaon ke entrance par.,hinglish,drainage,high
ভূমিধসের কারণে রাস্তার একপাশ আটকে গেছে বাজারের কাছে।,bn,landslide,medium
"नाली टूटने से घरों में जहरीला पानी भर रहा है, गंभीर स्वास्थ्य संकट बाजार के पास।",hi,drainage,critical
বিশাল ভূমিধসে রাস্তা সম্পূর্ণ অবরুদ্ধ হয়ে গেছে হাসপাতালের কাছে।,bn,landslide,high
"Kindly check, There is an emergency situation requiring immediate assistance in the residential area.",en,other,critical
Damaged building heavily tilt ho chuki hai school ke paas.,hinglish,building_damage,high
"तुरंत कार्रवाई करें, इमारत की बालकनी टूटकर गिर चुकी है, बड़ा हादसा हो सकता है गांव के प्रवेश द्वार पर।",hi,building_damage,high
People are trapped inside a burning building near the market.,en,fire,critical
বন্যার তীব্র স্রোতে মানুষের প্রাণহানির জরুরি আশঙ্কা তৈরি হয়েছে প্রধান রাস্তায়।,bn,flood,critical
People are struggling to move because of flooding near the community center.,en,flood,high
"Please take action, The traffic signal is broken and dead at the crossroads near the railway station.",en,other,high
Residents are facing an immediate safety risk in our locality.,en,other,critical
"সেতু ধসে বহু মানুষ বিপদে পড়েছে, চরম বিপর্যয় হাসপাতালের কাছে।",bn,bridge_damage,critical
Morning se water supply completely off hai railway station ke paas.,hinglish,water_supply,medium
Floodwater has entered several houses near the market.,en,waterlogging,critical
"तुरंत कार्रवाई करें, गंदा सीवेज पानी पूरे रास्ते पर भर गया है रेलवे स्टेशन के पास।",hi,drainage,high
The road damage has already caused an accident in our locality.,en,road_damage,critical
Drainage system completely block ho gaya hai aur black sewage road pe bhar gaya hai main road par.,hinglish,drainage,high
ড্রেনেজ ব্যবস্থায় হালকা সমস্যা দেখা দিয়েছে রেলস্টেশনের কাছে।,bn,drainage,low
Sadak ke kinare thoda paani ruka hai hamare area mein.,hinglish,waterlogging,low
"Please action lo, Drainage system me halka blockage hai gaon ke entrance par.",hinglish,drainage,low
Road par kafi paani bhar gaya hai hospital ke paas.,hinglish,waterlogging,medium
There is minor damage on the bridge near the bus stand.,en,bridge_damage,low
জরুরি অভিযোগ: নর্দমার নোংরা জল রাস্তায় উপচে পড়ছে আমাদের এলাকায়।,bn,drainage,medium
भारी जलभराव के कारण पूरा मुख्य मार्ग बंद हो चुका है हमारे इलाके में।,hi,waterlogging,high
"Aag me log building ke andar trapped hain, fire brigade bhejo jaan ka khatra hai market ke paas.",hinglish,fire,critical
Bridge ko minor maintenance required hai residential area mein.,hinglish,bridge_damage,low
गहरे गड्ढों के कारण सड़क पर भारी जाम लग रहा है रिहायशी इलाके में।,hi,road_damage,high
"Bridge collapse ho chuka hai aur vehicles river me drop ho gaye hain, disaster response railway station ke paas.",hinglish,bridge_damage,critical
"পচা বর্জ্যে মহামারীর চরম বিপদ, অবিলম্বে পরিষ্কার করুন কমিউনিটি সেন্টারের কাছে।",bn,garbage,critical
A building has completely collapsed near the community center.,en,building_damage,critical
"पीने के पानी में सीवेज का जहरीला पानी मिल गया है, लोग गंभीर बीमार पड़ रहे हैं सामुदायिक केंद्र के पास।",hi,water_supply,critical
"Urgent, Water has accumulated across the road near the railway station.",en,waterlogging,medium
"कृपया ध्यान दें, क्षेत्र में बाढ़ की स्थिति बनती जा रही है हमारे इलाके में।",hi,flood,medium
"कृपया ध्यान दें, नदी या नाले का जलस्तर थोड़ा बढ़ रहा है सामुदायिक केंद्र के पास।",hi,flood,low
Minor landslide hua hai but road abhi open hai community center ke paas.,hinglish,landslide,low
জলের মূল পাইপ ফেটে পুরো এলাকা জলের হাহাকারে ভুগছে কমিউনিটি সেন্টারের কাছে।,bn,water_supply,high
"Please action lo, Sewage aur drain ka filthy water logon ke houses ke andar ghus gaya hai market ke paas.",hinglish,drainage,critical
"Dangerous flood flow me log behne ki koshish me hain, life-threatening emergency hospital ke paas.",hinglish,flood,critical
"कृपया मदद करें, प्रलयंकारी बाढ़ से जान-माल का भारी खतरा है, तत्काल रेस्क्यू टीम भेजें बस स्टैंड के पास।",hi,flood,critical
The water supply has been interrupted near the bus stand.,en,water_supply,medium
Sadak ki surface pe thoda damage dikh raha hai bus stand ke paas.,hinglish,road_damage,low
গুরুতর বন্যায় পুরো এলাকা তলিয়ে গেছে প্রধান রাস্তায়।,bn,flood,high
"Please take action, A huge pile of garbage is blocking the road in the residential area.",en,garbage,high
There is some litter near the school.,en,garbage,low
"तुरंत कार्रवाई करें, पुल के किनारे थोड़ी मरम्मत की जरूरत है सामुदायिक केंद्र के पास।",hi,bridge_damage,low
"Please help, A fire has started at the village entrance.",en,fire,medium
